'1266','BANCA INTESA SPA'
'1267','NYKREDIT REALKREDIT A/S'
'1268','ABC INTERNATIONAL BANK PLC'
'1269','BHF-BANK (SCHWEIZ) AG'
'1270','BANCA POPOLARE DI MILANO'
'1271','SPARBANK VEST A/S'
'1272','BANKHAUS JUNGHOLZ AG'
'1273','IKB DEUTSCHE INDUSTRIEBANK AG'
'1274','SWEDBANK SA'
'1275','DEKABANK DEUTSCHE GIROZENTRALE'
'1276','HVB BANQUE LUXEMBOURG SOCIETE ANONYME'
'1277','BANCOLOMBIA SA'
'1278','RAIFFEISENBANK KLEINWALSERTAL AG'
'1279','KAUPTHING BANK LUXEMBOURG SA'
'1280','DEUTSCHE HYPOTHEKENBANK (ACTIEN- GESELLSCHAFT)'
'1281','LANDSBANKI LUXEMBOURG SA (EN SUSPENSION DE PAGOS)'
'1282','BANCO DE GUAYAQUIL SA'
'1283','BANCO PICHINCHA CA'
'1284','SCHRODER & CO BANK AG'
'1285','BANCO ITAU EUROPA SA'
'1286','BANCO BOLIVARIANO CA'
'1287','ROYAL BANK OF CANADA EUROPE LIMITED'
'1288','COÖPERATIEVE CENTRALE RAIFFEISEN -BOERENLEENBANK BA(RABOBANK NEDER'
'1289','GE CORPORATE FINANCE BANK SAS'
'1290','RAIFFEISEN ZENTRALBANK ÖSTERREICH AKTIENGESELLSCHAFT'
'1291','MIZUHO CORPORATE BANK NEDERLAND NV'
'1292','SNS PROPERTY FINANCE BV'
'1293','BANQUE INTERNATIONALE POUR LE MALI SA'
'1294','BANCO GANADERO SA'
'1295','PAYPAL (EUROPE) SÁRL Y CIE SCA'
'1296','LEEDS BUILDING SOCIETY'
'1297','F VAN LANSCHOT BANKIERS NV'
'1298','SOCIETE GENERALE MAROCAINE DE BANQUES'
'1299','BANCO LJ CARREGOSA SA'
'1300','ABN AMRO BANK NV'
'1301','ARGENTARIA CAJA POSTAL Y BANCO HIPOTECARIO SA'
'1302','ARGENTARIA CAJA POSTAL Y BANCO HIPOTECARIO SA'
'1310','BANQUE DE DEVELOPPEMENT DU MALI SA'
'1451','CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL SUD MEDITERRANEE (ARIEGE ET PYRENEES ORIENTALES) SE'
'1452','UBS AG SUCURSAL EN ESPAÑA'
'1453','BANCA MONTE DEI PASCHI DI SIENA SPA SUCURSAL EN ESPAÑA'
'1454','NEWEDGE GROUP SUCURSAL EN ESPAÑA'
'1455','TRANSOPTIONS FINANCE SA SUCURSAL EN ESPAÑA'
'1456','CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL PYRENEES-GASCOGNE SUCURSAL EN ESPAÑA'
'1457','DE LAGE LANDEN INTERNATIONAL BV SUCURSAL EN ESPAÑA'
'1458','HSBC INVESTMENT BANK PLC SUCURSAL EN ESPAÑA'
'1459','COOPERATIEVE CENTRALE RAIFFEISEN- BOERENLEENBANK BA (RABOBANK NEDERLAND) SUCURSAL EN ESPAÑA'
'1460','CREDIT SUISSE AG SUCURSAL EN ESPAÑA'
'1461','A/S JYSKE BANK SUCURSAL EN ESPAÑA'
'1462','ASSOCIATES CAPITAL CORPORATION PLC SUCURSAL EN ESPAÑA'
'1463','BANQUE PSA FINANCE SUCURSAL EN ESPAÑA'
'1464','NEWCOURT FINANCE (FRANCE) SNC SUCURSAL EN ESPAÑA'
'1465','ING DIRECT NV SUCURSAL EN ESPAÑA'
'1466','FRANFINANCE SUCURSAL EN ESPAÑA'
'1467','EUROHYPO AG SUCURSAL EN ESPAÑA'
'1468','EUROHYPO AG EUROPAISCHE HYPOTHEKENBANK DER DEUTSCHEN BANK SUCURSAL EN ESPAÑA'
'1469','BANCO SYGMA HISPANIA SUCURSAL EN ESPAÑA'
'1470','BANCO PORTUGUES DE INVESTIMENTO SA SUCURSAL EN ESPAÑA'
'1471','ROYAL BANK OF CANADA EUROPE LIMITED SUCURSAL EN ESPAÑA'
'1472','CREDIT AGRICOLE LEASING SUCURSAL EN ESPAÑA'
'1473','BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE SUCURSAL EN ESPAÑA'
'1474','CITIBANK INTERNATIONAL PLC SUCURSAL EN ESPAÑA'
'1475','CORTAL CONSORS SUCURSAL EN ESPAÑA'
'1476','FIMATEX SA SUCURSAL EN ESPAÑA'
'1477','THE ROYAL BANK OF SCOTLAND PLC SUCURSAL EN ESPAÑA'
'1478','MERRILL LYNCH INTERNATIONAL BANK LIMITED SUCURSAL EN ESPAÑA'
'1479','NATIXIS SA SUCURSAL EN ESPAÑA'
'1480','VOLKSWAGEN BANK GMBH SUCURSAL EN ESPAÑA'
'1481','BANCO MAIS SA (ESPANHA) SUCURSAL EN ESPAÑA'
'1482','JOHN DEERE BANK SA SUCURSAL EN ESPAÑA'
'1483','BANK OF SCOTLAND SUCURSAL EN ESPAÑA'
'1484','MBNA EUROPE BANK LIMITED SUCURSAL EN ESPAÑA'
'1485','BANK OF AMERICA NATIONAL ASSOCIATION SUCURSAL EN ESPAÑA'
'1486','BANCO PRIVADO PORTUGUESSASE (SUJETO A MEDIDAS DE SANEAMIENTO ADOPTADAS POR EL BANCO DE PORTUGAL)'
'1487','TOYOTA KREDITBANK GMBH SUCURSAL EN ESPAÑA'
'1488','PICTET & CIE (EUROPE) SA SUCURSAL EN ESPAÑA'
'1489','HYPO REAL ESTATE BANK INTERNATIONAL SUCURSAL EN ESPAÑA'
'1490','SELF TRADE BANK SA'
'1491','TRIODOS BANK NV SE'
'1492','BNP PARIBAS LEASE GROUP SA SUCURSAL EN ESPAÑA'
'1493','CAIXA BANCO DE INVESTIMENTO SA SUCURSAL EN ESPAÑA'
'1494','INTESA SANPAOLO SPA SUCURSAL EN ESPAÑA'
'1495','CIT GROUP (NORDIC) AB SUCURSAL EN ESPAÑA'
'1496','GENEFIM SUCURSAL EN ESPAÑA'
